open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,
1.71731E+12,3813.21,3813.21,3804.58,3805.99,13712.492,1.71731E+12,52211276.12,22338,5540.338,21095846.17,0,
1.71731E+12,3805.99,3806,3795.35,3797.64,31565.894,1.71731E+12,119947114.3,36724,9852.359,37435581.35,0,
1.71731E+12,3797.65,3801.81,3793.61,3795.13,9426.765,1.71732E+12,35809378.27,18447,4906.291,18640766.02,0,
1.71732E+12,3795.13,3798.28,3784.95,3798.01,41963.963,1.71732E+12,159076455.6,47120,20947.024,79419552.74,0,
1.71732E+12,3798.01,3799.25,3792.53,3798.62,10926.493,1.71732E+12,41472480.27,26510,6002.682,22785184.05,0,
1.71732E+12,3798.64,3803.99,3797.01,3802.44,8274.748,1.71732E+12,31446332.21,19340,5161.927,19616534.28,0,
1.71732E+12,3802.45,3802.88,3794.43,3796.45,7101.671,1.71732E+12,26968858.16,13400,2737.06,10393501.49,0,
1.71732E+12,3796.45,3798.37,3793,3797.5,21114.522,1.71732E+12,80153529.21,24108,11045.407,41932033.66,0,
1.71732E+12,3797.5,3800.47,3782.9,3784,46059.865,1.71732E+12,174651888.4,53664,19356.514,73425387.45,0,
1.71732E+12,3784,3788.37,3778.05,3778.59,30336.155,1.71732E+12,114743381.5,44932,12252.789,46353913.12,0,
1.71732E+12,3778.59,3785,3775.42,3782.78,17961.68,1.71732E+12,67900194.93,32242,8765.936,33143057.45,0,
1.71732E+12,3782.78,3786,3778.72,3779.1,13465.434,1.71732E+12,50926463.41,19393,7910.62,29920694.83,0,
1.71732E+12,3779.1,3782.9,3772.35,3779.56,24048.569,1.71732E+12,90836083.27,33743,13051.986,49306972.56,0,
1.71732E+12,3779.55,3785.28,3774,3784.44,20882.053,1.71733E+12,78914951.88,26369,12348.708,46675240.15,0,
1.71733E+12,3784.43,3784.44,3778.1,3783.99,12668.109,1.71733E+12,47894861.66,20401,5644.297,21342826.85,0,
1.71733E+12,3784,3784.02,3779,3781.3,12396.209,1.71733E+12,46876038.88,19868,5330.192,20158444.07,0,
1.71733E+12,3781.3,3786.13,3780,3784.22,9085.391,1.71733E+12,34378765.98,15845,6314.134,23892351.67,0,
1.71733E+12,3784.21,3790.89,3784.16,3789.05,11921.201,1.71733E+12,45160751.39,19508,7285.383,27598991.67,0,
